id;host_id;host_name;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm
27955643;211156847;Giusy;Vicaria;4.085.714;1.427.464;Entire home/apt;$48,00;1;604;12/09/2023;9.89;1;79;162
28046217;49616871;Gaetano;Stella;4.085.357;1.425.043;Private room;$120,00;1;2;31/12/2019;0.04;1;248;0
28077291;212098396;Salvatore;Vomero;4.084.373.211.852.760;14.231.893.137.566.100;Entire home/apt;$83,00;2;28;9/09/2023;0.46;1;146;4
28115338;156448750;Carmela;San Lorenzo;4.085.784;1.427.044;Entire home/apt;$60,00;2;168;5/09/2023;2.74;2;36;18
28116541;43751188;Luigi E Titty;Porto;4.084.803;1.425.653;Entire home/apt;$65,00;1;278;12/09/2023;4.54;2;340;71
28121144;212413949;Laura;Pianura;4.085.002;1.416.729;Private room;$48,00;1;10;10/10/2022;0.17;2;356;2
28124137;11017577;Ivano;San Carlo all'Arena;4.087.441;1.424.768;Entire home/apt;$30,00;1;85;28/07/2023;1.39;1;178;24
28133070;42050223;Paola;San Lorenzo;4.085.934;142.663;Private room;$65,00;1;58;10/09/2023;0.97;1;162;21
28149492;2474802;Giorgio;San Lorenzo;408.552;1.426.788;Private room;$98,00;1;108;29/08/2023;1.78;6;306;31
28151602;2474802;Giorgio;San Lorenzo;408.566;1.426.248;Private room;$90,00;1;31;11/07/2022;0.51;6;296;0
28152895;2474802;Giorgio;San Lorenzo;4.085.621;1.426.306;Private room;$93,00;1;44;19/08/2023;0.72;6;291;7
28172707;13986099;Ludovica;Stella;4.085.749;1.425.303;Entire home/apt;$42,00;1;8;21/10/2018;0.13;3;252;0
28173212;212792358;Sergio;Zona Industriale;4.085.267;1.427.014;Private room;$1.000,00;1;0;;;3;365;0
28182101;2182993;Giordano;San Lorenzo;4.085.169;1.426.287;Entire home/apt;$150,00;3;12;29/01/2023;0.2;4;276;3
28197607;198257002;Fabio;San Lorenzo;4.086.035;1.426.861;Entire home/apt;$71,00;2;187;9/09/2023;3.07;1;71;33
28216429;200208046;Hedy;San Ferdinando;4.083.275;1.424.889;Entire home/apt;$180,00;3;15;5/08/2023;0.25;2;56;5
28220975;159609977;Chiara;San Ferdinando;4.083.743;1.424.754;Private room;$79,00;1;2;2/04/2023;0.15;1;357;1
28250182;202912714;Martina;Ponticelli;4.086.455;1.433.911;Private room;$60,00;1;1;28/06/2020;0.03;2;234;0
28252457;213389391;Maria;Fuorigrotta;4.083.217;1.420.671;Private room;$34,00;1;69;19/08/2023;1.14;4;278;5
28294846;213679490;Thilina And Bodhi;Porto;4.084.603;142.547;Entire home/apt;$49,00;1;150;9/09/2023;2.49;4;318;15
28296959;213679490;Thilina And Bodhi;Porto;4.084.676;1.425.545;Entire home/apt;$76,00;1;143;10/09/2023;2.36;4;255;26
28304764;38819274;Manuela;Vomero;4.084.252;1.423.616;Private room;$85,00;3;5;4/06/2023;0.37;3;341;2
28305892;20933780;Luca;Montecalvario;40.848.091;14.249.354;Entire home/apt;$102,00;2;0;;;3;335;0
28348212;212792358;Sergio;Zona Industriale;4.085.228;1.427.216;Private room;$1.000,00;1;0;;;3;179;0
28348704;212792358;Sergio;Zona Industriale;4.085.254;1.427.083;Private room;$857,00;1;1;28/09/2018;0.02;3;179;0
28366251;146430065;Raffaele;Barra;4.084.696;1.433.974;Entire home/apt;$60,00;77;0;;;2;365;0
28383293;41379890;Nuvi;San Lorenzo;4.085.001;1.425.693;Entire home/apt;$171,00;3;3;5/06/2023;0.63;1;329;3
28386768;214309667;Salvatore;San Lorenzo;4.085.941;1.427.041;Entire home/apt;$49,00;1;65;7/09/2023;1.07;1;339;30
28433184;43436905;Varriale House;Avvocata;408.488.292;142.447.751;Entire home/apt;$153,00;3;14;9/09/2023;2.78;5;317;14
28433862;177220943;Danilo;Arenella;4.085.512;1.422.303;Private room;$34,00;3;74;10/09/2023;1.22;1;289;21
28438946;213389391;Maria;Fuorigrotta;4.083.217;1.420.671;Entire home/apt;$55,00;1;6;1/08/2022;0.11;4;275;0
28438958;213389391;Maria;Fuorigrotta;4.083.217;1.420.671;Private room;$35,00;1;57;28/08/2023;0.95;4;275;9
28446516;214749309;Omar;San Giuseppe;4.084.961;142.549;Private room;$25,00;1;0;;;7;145;0
28464986;137163089;Antonietta;San Lorenzo;40.851.627.349.853.500;14.265.281.677.246.000;Private room;$78,00;1;141;20/08/2023;2.37;7;136;12
28492529;215072121;Nunzio;San Ferdinando;4.083.752;1.424.646;Entire home/apt;$90,00;1;161;12/09/2023;2.66;3;331;38
28559074;215534888;Luigi;Avvocata;4.084.833;1.424.512;Entire home/apt;$136,00;1;67;22/08/2023;1.11;5;179;15
28559116;137163089;Antonietta;San Lorenzo;40.851.627.349.853.500;14.265.281.677.246.000;Private room;$78,00;1;127;18/06/2023;2.16;7;134;10
28559590;215539335;Dyane;Stella;40.856;1.425.247;Entire home/apt;$50,00;2;96;9/08/2023;1.6;2;293;25
28560132;215544702;Elisa;San Giuseppe;4.084.863;1.425.253;Entire home/apt;$95,00;2;135;29/08/2021;2.24;1;0;0
28572174;214749309;Omar;San Giuseppe;4.084.873;1.425.419;Private room;$25,00;1;2;1/04/2019;0.03;7;224;0
28577769;215680233;Saverio;Porto;4.084.477;1.425.697;Entire home/apt;$129,00;3;25;19/07/2023;0.42;4;53;5
28596097;198683288;Valeria;San Ferdinando;4.083.847;142.509;Private room;$164,00;2;26;15/05/2023;0.43;1;314;3
28607949;4303893;Jeanette E Lorenzo;Porto;4.084.645;142.543;Entire home/apt;$82,00;1;446;11/09/2023;7.44;2;84;107
28609181;215534888;Luigi;Avvocata;408.481;1.424.548;Private room;$89,00;1;48;11/09/2023;0.79;5;151;12
28626901;36906613;Teo;Montecalvario;40.844;1.424.465;Entire home/apt;$66,00;2;60;10/12/2022;1.05;1;0;10
28629072;216043272;Assunta;Pendino;408.491;1.425.795;Entire home/apt;$71,00;2;20;27/09/2021;0.35;1;319;0
28630035;121057665;Pasquale;Pendino;4.085.031;1.426.606;Private room;$48,00;1;5;10/09/2023;3.85;4;34;5
28630078;68657907;Benvenuto Fabrizio;San Giuseppe;4.084.872;1.425.509;Entire home/apt;$131,00;2;30;22/05/2023;0.56;1;211;5
28645257;215680233;Saverio;Porto;4.084.477;1.425.697;Entire home/apt;$98,00;3;53;24/07/2023;0.88;4;41;8
28646584;215680233;Saverio;Porto;4.084.477;1.425.697;Entire home/apt;$127,00;3;27;12/10/2022;0.45;4;127;1
28681938;12204681;Vitale;Pendino;4.084.589;1.426.254;Entire home/apt;$70,00;1;3;28/10/2018;0.05;2;0;0
28704167;216530230;Michele;Stella;408.585;1.424.733;Entire home/apt;$69,00;1;68;14/07/2023;1.17;1;163;23
28732171;216715886;Raffaele;San Lorenzo;4.085.106;1.425.621;Entire home/apt;$42,00;2;210;28/08/2023;3.48;1;280;64
28737764;4706127;The Gocce Team;San Lorenzo;4.085.335;1.425.539;Entire home/apt;$139,00;2;7;3/10/2022;0.12;7;188;1
28751766;7827219;Barbara;San Lorenzo;4.085.179;1.425.401;Entire home/apt;$50,00;3;131;1/09/2023;2.17;2;0;24
28754748;166366099;Lina;Montecalvario;4.084.734;1.424.816;Entire home/apt;$82,00;2;25;6/08/2023;0.42;1;317;3
28759253;216929504;Luca;Chiaia;408.394;1.423.316;Entire home/apt;$64,00;60;0;;;1;0;0
28768255;75929785;Francesco;Posillipo;40.822;1.421.342;Entire home/apt;$201,00;2;40;14/08/2023;0.75;18;349;14
28773100;394256957;Fabio;San Lorenzo;4.085.749;1.426.584;Entire home/apt;$35,00;2;2;18/08/2020;0.05;1;0;0
28775039;215534888;Luigi;Avvocata;4.084.833;1.424.512;Private room;$94,00;1;40;22/08/2023;0.73;5;178;3
28778499;138149761;Sergio;San Ferdinando;4.083.744;1.424.591;Entire home/apt;$140,00;2;23;21/10/2020;0.4;2;156;0
28792357;97200237;Simone;San Carlo all'Arena;4.086.947;1.423.414;Entire home/apt;$53,00;20;1;2/07/2019;0.02;1;11;0
28817411;170230374;Francesca;Porto;4.084.307;1.425.627;Private room;$110,00;4;14;12/10/2020;0.23;2;127;0
28830065;180012530;Stefano;Avvocata;4.084.846;1.424.848;Entire home/apt;$95,00;3;286;9/09/2023;4.75;3;238;37
28848167;148951112;Beatrice;Chiaia;4.083.088;1.422.052;Entire home/apt;$130,00;2;19;11/12/2022;0.33;1;337;8
28852129;217240467;Imma;Zona Industriale;4.085.204;1.426.789;Entire home/apt;$136,00;2;275;2/09/2023;4.58;1;252;75
28858122;217547404;Davide;Vicaria;4.085.490.036.010.740;14.273.435.592.651.300;Entire home/apt;$157,00;1;107;8/09/2023;1.78;1;270;28
28864886;18852439;Régis;San Lorenzo;4.085.798;1.426.434;Entire home/apt;$84,00;2;187;3/09/2023;3.16;2;327;43
28874125;65558624;Paola;San Lorenzo;4.085.202;1.426.531;Entire home/apt;$91,00;1;333;30/08/2023;5.54;5;325;91
28879570;217714493;Claudia;Fuorigrotta;4.081.757;1.418.699;Entire home/apt;$100,00;2;31;24/06/2023;0.52;1;38;6
28881785;217729724;Vincenzo E Elena;Vomero;4.084.271;1.423.162;Entire home/apt;$95,00;2;69;25/08/2023;1.18;1;72;17
28884060;217742423;Daniela E Stefania;San Ferdinando;4.083.591;1.424.561;Entire home/apt;$124,00;4;1;12/05/2019;0.02;2;105;0
28884797;217742423;Daniela E Stefania;San Ferdinando;4.083.607;1.424.632;Entire home/apt;$118,00;3;23;22/08/2023;0.4;2;115;14
28885463;31704753;Giampiero;Chiaia;4.083.558;1.422.152;Entire home/apt;$40,00;3;254;2/09/2023;4.84;7;266;78
28885937;166839022;Giuseppe;Poggioreale;4.085.546;1.428.006;Entire home/apt;$95,00;2;87;10/09/2023;1.45;5;327;27
28901235;217859589;Carmen;San Ferdinando;4.083.865;1.424.735;Entire home/apt;$115,00;2;47;5/09/2023;0.79;1;230;15
28905423;13124823;Maria;Vomero;4.084.268;1.422.531;Entire home/apt;$32,00;1;1;18/11/2018;0.02;1;255;0
28928097;218046785;Giovanna;San Carlo all'Arena;4.086.661;1.426.634;Entire home/apt;$70,00;2;49;25/08/2023;0.82;1;357;17
28931603;213389391;Maria;Fuorigrotta;4.083.217;1.420.671;Private room;$40,00;1;32;20/08/2023;0.53;4;276;5
28949688;152009554;Federico;San Ferdinando;4.083.197;1.424.505;Entire home/apt;$115,00;1;9;3/07/2022;0.15;6;195;0
28951041;21758956;Titti;Montecalvario;4.084.736;1.424.927;Private room;$150,00;1;5;7/06/2023;0.09;8;160;1
28952653;140404760;Angelo;San Lorenzo;4.085.322;1.425.976;Entire home/apt;$70,00;2;17;2/01/2022;0.29;1;0;0
28956612;218262885;Daniela;Mercato;4.085.077;1.427.036;Private room;$53,00;3;44;27/06/2023;0.74;2;68;2
28975857;218402830;Michele;San Carlo all'Arena;4.085.651;14.258;Entire home/apt;$80,00;2;13;14/10/2022;0.22;1;339;1
28978108;45979838;Ennio;Zona Industriale;4.085.405;1.427.433;Entire home/apt;$81,00;1;2;28/08/2023;0.81;2;231;2
29026985;218762081;Angela;San Lorenzo;4.085.208;1.426.557;Private room;$128,00;1;0;;;4;332;0
29028478;194614779;Antonio;Chiaiano;4.086.417;1.421.842;Entire home/apt;$100,00;1;1;26/10/2018;0.02;1;76;0
29033034;218806161;Anna;San Carlo all'Arena;4.085.679;1.425.519;Entire home/apt;$90,00;2;87;7/01/2022;1.45;1;57;0
29056355;131484252;Antonio;San Carlo all'Arena;4.087.668;1.427.047;Entire home/apt;$45,00;2;10;4/08/2019;0.17;1;0;0
29057265;199165348;Nicola;Chiaia;4.083.853;1.423.791;Entire home/apt;$150,00;2;79;9/09/2023;1.33;1;315;7
29074187;111501457;Italia;San Carlo all'Arena;4.085.994;142.626;Entire home/apt;$91,00;3;56;8/09/2023;0.97;2;222;23
29076182;219099831;Valeria;Arenella;408.531;1.423.125;Entire home/apt;$70,00;3;63;29/08/2023;1.06;1;61;21
29087769;177204156;Claudia;San Carlo all'Arena;4.085.784;1.425.581;Entire home/apt;$31,00;2;265;10/09/2023;4.42;1;231;63
29092521;219215190;Huiwei;San Lorenzo;4.085.334;1.426.926;Entire home/apt;$443,00;1;14;11/07/2023;0.32;7;347;10
29093993;219215190;Huiwei;San Lorenzo;4.085.334;1.426.926;Private room;$81,00;1;11;17/08/2023;0.21;7;343;7
29094352;219215190;Huiwei;San Lorenzo;4.085.334;1.426.926;Private room;$84,00;1;3;8/05/2023;0.08;7;341;1
29094587;219215190;Huiwei;San Lorenzo;4.085.334;1.426.926;Private room;$107,00;1;1;26/04/2023;0.21;7;348;1
29094774;219215190;Huiwei;San Lorenzo;4.085.334;1.426.926;Private room;$171,00;1;3;9/08/2023;0.12;7;345;2
29100881;219321148;Nunzia;San Lorenzo;4.085.475;1.425.652;Entire home/apt;$136,00;1;318;12/09/2023;5.31;1;254;46
29118285;77841734;Vincenzo Maria;Chiaia;4.083.384;1.422.529;Entire home/apt;$87,00;3;31;27/08/2023;2.42;2;335;27
29143423;219601127;Umberto;Montecalvario;40.842;1.424.639;Entire home/apt;$81,00;4;61;1/09/2023;1.07;1;64;24
29146495;14403416;Giovanna;Avvocata;408.503;142.445;Entire home/apt;$100,00;1;0;;;1;224;0
29168393;219657119;Giuseppe Fabio;Pendino;4.084.767;1.426.345;Entire home/apt;$75,00;1;0;;;1;0;0
29168779;219799205;Paola;Chiaia;4.083.409;1.422.779;Entire home/apt;$98,00;2;154;6/09/2023;2.61;1;90;52
29168964;219800127;Roberta/Pasquale;Chiaia;4.083.802;1.423.928;Entire home/apt;$56,00;3;254;2/09/2023;4.26;3;308;42
29171141;219812048;Alessandro;Vomero;4.084.343;1.422.758;Private room;$130,00;1;1;10/09/2019;0.02;6;105;0
29172937;219812048;Alessandro;Vomero;4.084.345;142.275;Private room;$100,00;1;0;;;6;86;0
29173010;219812048;Alessandro;Vomero;4.084.346;1.422.766;Private room;$130,00;1;2;14/05/2023;0.04;6;107;1
29173305;219812048;Alessandro;Vomero;4.084.348;1.422.761;Private room;$110,00;1;0;;;6;98;0
29178078;75929785;Francesco;Pendino;40.847;1.426.214;Entire home/apt;$177,00;2;63;10/09/2023;1.06;18;340;9
29178215;163202454;Giuliana;San Giuseppe;4.084.196;1.425.235;Entire home/apt;$293,00;4;6;18/12/2022;0.1;8;276;1
29182695;219901962;Pierpaolo;Montecalvario;4.084.803;1.424.863;Entire home/apt;$75,00;2;6;7/07/2023;0.1;2;247;4
29196463;99851299;Alessandro;Fuorigrotta;4.082.126;1.418.698;Private room;$27,00;1;31;7/09/2023;0.61;2;117;18
29246067;219812048;Alessandro;Vomero;4.084.345;142.276;Private room;$110,00;1;0;;;6;100;0
29246150;219812048;Alessandro;Vomero;4.084.347;1.422.763;Private room;$100,00;1;1;14/08/2023;1;6;92;1
29280759;220599635;Luca;San Lorenzo;4.085.378;1.426.164;Entire home/apt;$257,00;2;61;21/07/2023;1.16;1;220;13
29291110;220670067;Vittorio;Mercato;4.085.128;1.427.132;Entire home/apt;$110,00;2;98;2/08/2023;1.64;5;279;8
29293238;220678827;Giovanna;San Giuseppe;4.084.555;1.425.008;Entire home/apt;$250,00;2;1;6/01/2020;0.02;1;72;0
29293897;9125037;Francesca;San Lorenzo;4.085.288;1.426.081;Entire home/apt;$80,00;2;3;2/08/2022;0.2;4;180;0
29294976;9125037;Francesca;Pendino;4.085.134;1.426.079;Entire home/apt;$104,00;2;37;7/07/2023;0.62;4;141;10
29299488;188837434;Alessandro;Montecalvario;4.084.084;1.424.011;Entire home/apt;$60,00;1;142;4/09/2023;2.39;2;350;38
29304465;218782278;Antonella;San Ferdinando;4.083.235;1.424.193;Entire home/apt;$129,00;2;5;13/10/2019;0.09;1;0;0
29322250;118698633;Rosaria;Avvocata;4.085.467;1.424.013;Private room;$34,00;1;46;22/08/2023;0.78;2;356;22
29324372;220903631;Gennaro;Chiaia;4.083.663;1.424.421;Entire home/apt;$37,00;2;29;9/01/2021;0.5;1;0;0
29328040;191162539;Silvia;San Ferdinando;4.083.092;142.469;Entire home/apt;$100,00;4;34;8/04/2023;0.57;1;131;3
29351437;221119444;Raffaela;San Lorenzo;4.085.125;1.425.833;Entire home/apt;$64,00;1;245;10/09/2023;4.12;1;159;59
29358918;4706127;The Gocce Team;Pendino;4.084.901;1.425.896;Entire home/apt;$305,00;2;65;1/09/2023;1.1;7;136;16
29374082;32505048;Zaira;San Giuseppe;4.084.935;14.251;Private room;$91,00;1;19;10/09/2023;0.36;1;149;12
29384637;221174492;Luigi;Fuorigrotta;4.081.948;1.418.051;Entire home/apt;$80,00;2;2;16/11/2018;0.03;5;90;0
29387019;118536410;Paola;San Ferdinando;4.083.634;1.424.685;Private room;$80,00;2;8;31/08/2023;0.15;1;148;4
29390174;177549150;Claudio;Montecalvario;4.084.753;1.424.612;Entire home/apt;$166,00;2;77;8/08/2022;1.48;3;0;0
29405349;221510371;Valeria;Pendino;40.845;1.426.094;Entire home/apt;$91,00;2;126;5/09/2023;2.13;1;10;50
29411109;221549679;Viviane;San Carlo all'Arena;4.085.631;1.425.756;Entire home/apt;$2.951,00;7;5;16/02/2020;0.08;1;0;0
29429676;221682404;Rita;San Lorenzo;40.852.108.001.708.900;1.425.762.939.453.120;Entire home/apt;$98,00;1;188;28/07/2023;3.16;1;232;8
29430184;221685794;Rosaria;Pendino;4.084.927;1.426.082;Entire home/apt;$60,00;2;110;24/06/2023;1.86;1;223;13
29433798;22599705;Alessandro;San Ferdinando;4.083.828;142.506;Private room;$132,00;1;0;;;3;40;0
29433889;38025649;Paolo;San Lorenzo;4.085.268;1.425.986;Entire home/apt;$113,00;2;1;5/05/2023;0.23;3;140;1
29434933;171451061;Bernardino;Chiaia;4.083.568;1.423.986;Entire home/apt;$110,00;2;160;4/09/2023;2.7;1;104;52
29446815;34664047;Luca;Vomero;4.084.443;1.423.269;Entire home/apt;$40,00;1;21;28/09/2020;0.36;3;0;0
29470280;105609741;Fabrizia;San Giuseppe;4.084.533;1.424.967;Entire home/apt;$257,00;3;125;30/08/2023;2.29;3;84;27
29480005;22599705;Alessandro;San Ferdinando;4.083.828;142.506;Private room;$133,00;1;0;;;3;41;0
29482278;222046346;Carmelo;Avvocata;40.852.669;1.424.766;Entire home/apt;$61,00;2;15;10/09/2023;0.28;1;243;6
29486469;222077857;Chiara E Giorgio;Vomero;4.084.018;1.423.616;Entire home/apt;$93,00;3;118;19/08/2023;1.99;1;218;28
29487890;49090601;Luca;Chiaia;4.083.722.686.767.570;14.223.512.649.536.100;Entire home/apt;$136,00;3;2;29/08/2021;0.03;1;100;0
29490427;22599705;Alessandro;San Ferdinando;4.083.825;142.507;Private room;$132,00;1;2;27/07/2023;0.15;3;32;1
29522926;134905830;BBCasamatta;Pendino;4.084.981;1.426.036;Private room;$160,00;1;0;;;6;202;0
29532234;128841116;Dimorra;San Ferdinando;4.083.764;1.424.715;Entire home/apt;$118,00;1;34;7/08/2023;0.58;69;330;5
29532893;9829640;Giorgio;San Ferdinando;4.083.298;1.424.924;Hotel room;$300,00;1;2;7/09/2023;0.14;16;348;1
29536113;10118084;Anna;Posillipo;4.080.415;1.419.683;Entire home/apt;$300,00;2;0;;;4;164;0
29553553;200092929;Caterina;Porto;4.084.358;1.425.554;Private room;$50,00;1;0;;;9;55;0
29553678;200092929;Caterina;Porto;4.084.315;1.425.607;Private room;$40,00;1;2;11/11/2019;0.04;9;55;0
29553907;200092929;Caterina;Porto;4.084.195;1.425.467;Private room;$80,00;1;2;1/01/2021;0.04;9;55;0
29553982;200092929;Caterina;Porto;4.084.352;1.425.484;Private room;$70,00;1;5;19/07/2021;0.1;9;55;0
29554055;200092929;Caterina;Porto;4.084.197;1.425.425;Private room;$50,00;1;2;27/10/2019;0.04;9;55;0
29581183;218262885;Daniela;Mercato;4.084.921;1.427.089;Entire home/apt;$41,00;3;4;30/01/2020;0.07;2;10;0
29587020;222720706;Rosa & Assia;San Lorenzo;4.085.339;1.426.405;Entire home/apt;$47,00;2;287;31/08/2023;4.86;1;91;72
29590050;222736525;Teresa;Montecalvario;4.084.015;1.424.566;Entire home/apt;$74,00;3;135;5/09/2023;2.33;1;133;42
29601939;20485488;Cristiana;San Giuseppe;4.084.417;1.425.263;Entire home/apt;$123,00;2;81;12/09/2023;1.37;2;231;16
29602244;98215025;Chiara;San Lorenzo;4.085.455;1.427.028;Private room;$88,00;1;0;;;3;0;0
29608273;22107618;Simona;Montecalvario;4.084.375;1.424.674;Entire home/apt;$71,00;2;190;10/09/2023;3.29;2;271;59
29612071;217175327;Valeria;San Lorenzo;4.085.175;142.595;Entire home/apt;$45,00;2;192;1/09/2023;3.45;4;4;41
29621220;222171175;Cristina;San Lorenzo;408.534;1.426.257;Entire home/apt;$103,00;1;257;10/09/2023;4.43;1;126;70
29623374;222983552;Fabio;Posillipo;4.081.506;1.420.619;Private room;$200,00;1;0;;;1;179;0
29624916;222994762;Antonio/Valeria;Stella;4.085.815;1.425.213;Entire home/apt;$100,00;2;15;16/07/2023;0.26;1;108;2
29628019;20485314;Danilo;Pendino;4.084.596;1.426.371;Entire home/apt;$75,00;2;28;4/07/2023;0.48;1;39;4
29643026;7889453;Francesco;Mercato;4.085.126;1.427.067;Entire home/apt;$60,00;1;75;27/08/2023;1.27;1;56;24
29646499;105204220;Gianluca;San Ferdinando;4.083.221;1.424.832;Entire home/apt;$80,00;3;102;4/09/2023;1.76;1;257;32
29648786;109658165;Vincenzo;San Carlo all'Arena;408.755;1.426.843;Entire home/apt;$69,00;2;32;15/08/2023;0.56;1;57;9
29649558;146156758;Giordana;San Lorenzo;4.085.386;1.427.057;Entire home/apt;$142,00;2;89;27/08/2023;1.55;1;112;20
29668313;762694;Melania;San Lorenzo;4.085.276;1.425.559;Entire home/apt;$70,00;1;2;4/01/2020;0.04;2;0;0
29672745;223129887;Maria Grazia;San Giuseppe;4.084.721;1.424.969;Private room;$334,00;1;1;4/08/2021;0.04;1;283;0
29674615;223333428;Elena;San Ferdinando;4.083.571;1.424.683;Entire home/apt;$68,00;3;82;8/09/2023;1.4;1;205;13
29677395;41556564;Simona;Vicaria;40.86;142.732;Entire home/apt;$34,00;3;45;21/01/2020;0.77;1;0;0
29678170;8541911;Ranieri & Piera;San Giuseppe;4.084.847;1.425.021;Entire home/apt;$91,00;2;23;28/05/2023;0.41;4;336;9
29679912;159464152;Raffaele;San Lorenzo;4.086.313;1.426.865;Entire home/apt;$60,00;2;6;28/08/2023;0.11;2;342;1
29680123;205328713;Antonio;San Carlo all'Arena;4.086.976;1.427.038;Private room;$72,00;1;4;21/08/2022;0.23;4;111;0
29682176;223297742;Diana;Stella;4.086.375;1.424.829;Entire home/apt;$28,00;1;46;27/10/2022;0.84;1;0;3
29705076;221174492;Luigi;Fuorigrotta;4.081.948;1.418.051;Private room;$30,00;2;9;31/08/2022;0.17;5;71;0
29706219;221174492;Luigi;Fuorigrotta;4.081.831;1.417.939;Private room;$30,00;2;0;;;5;70;0
29707193;220112065;Agostino;San Lorenzo;4.085.487;1.425.662;Entire home/apt;$32,00;1;1;25/08/2019;0.02;1;0;0
29720041;223614070;Lucio;Arenella;4.084.834;1.421.761;Entire home/apt;$70,00;4;11;25/04/2023;0.19;1;358;5
29737494;35413922;Fira;Porto;4.084.164;1.425.382;Entire home/apt;$74,00;1;152;11/09/2023;2.66;3;343;50
29749243;221174492;Luigi;Fuorigrotta;4.082.036;1.418.165;Private room;$30,00;2;5;9/08/2023;0.1;5;95;3
29753745;13959696;Roberto;San Giuseppe;4.084.196;1.424.981;Private room;$60,00;1;2;12/06/2023;0.15;4;109;1
29753821;13959696;Roberto;San Giuseppe;4.084.183;1.424.952;Private room;$90,00;1;0;;;4;128;0
29754154;13959696;Roberto;San Giuseppe;4.084.271;1.424.936;Private room;$70,00;1;4;19/09/2022;0.15;4;127;1
29798575;224188223;Enrico Francesco;San Lorenzo;408.532;1.426.648;Entire home/apt;$114,00;2;18;24/07/2023;0.35;6;154;3
29825313;224346693;Vincenzo;San Ferdinando;4.083.649;1.424.647;Entire home/apt;$101,00;1;113;8/09/2023;1.92;5;296;15
29851024;146565241;Sergio;Porto;4.084.804;1.425.625;Entire home/apt;$100,00;3;0;;;5;63;0
29865117;224599194;Salvatore;Vicaria;4.085.565;1.427.405;Hotel room;$170,00;1;1;18/04/2022;0.06;4;0;0
29865697;224599194;Salvatore;Vicaria;4.085.567;1.427.571;Hotel room;$170,00;1;1;16/04/2022;0.06;4;0;0
29866139;224599194;Salvatore;Vicaria;4.085.623;1.427.547;Hotel room;$170,00;1;1;19/04/2022;0.06;4;0;0
29866326;224599194;Salvatore;Vicaria;4.085.567;142.757;Hotel room;$170,00;1;1;25/04/2022;0.06;4;0;0
29874597;29364874;Martine Et Raffaele;Pendino;4.084.947;1.426.846;Entire home/apt;$92,00;5;122;2/09/2023;2.28;4;328;37
29876465;161843659;Giovanna;Pendino;4.084.864;1.426.099;Entire home/apt;$75,00;2;172;8/09/2023;3;1;203;48
29879275;224692428;Gennaro;San Lorenzo;4.085.545;1.425.875;Entire home/apt;$62,00;1;54;25/06/2023;0.92;1;66;1
29879692;224693392;Antonio;Porto;4.084.088;1.425.332;Private room;$41,00;1;8;22/08/2023;0.14;1;45;4
29892521;224779315;Antonio;San Lorenzo;4.085.551;1.426.079;Private room;$110,00;2;0;;;4;312;0
29893313;224784829;Carmela;San Lorenzo;4.085.244;1.426.142;Entire home/apt;$76,00;3;57;7/08/2023;1;1;20;19
29904493;224859849;Patrizia;San Ferdinando;4.083.961;1.424.464;Entire home/apt;$70,00;1;1;10/01/2019;0.02;1;0;0
29912956;224779315;Antonio;San Lorenzo;4.085.551;1.426.079;Hotel room;$130,00;2;0;;;4;313;0
29914046;224779315;Antonio;San Lorenzo;4.085.551;1.426.079;Private room;$160,00;2;0;;;4;316;0
29915771;221515727;Arianna;San Lorenzo;4.085.221;1.425.506;Private room;$59,00;2;33;1/08/2023;0.67;1;0;7
29919629;204762985;Casa Hosteno;Porto;4.084.811;1.425.537;Private room;$165,00;1;0;;;5;0;0
29919795;224779315;Antonio;San Lorenzo;4.085.483;1.426.031;Private room;$100,00;2;2;17/08/2021;0.04;4;235;0
29920576;4382180;Annamaria;Montecalvario;4.084.362;1.424.822;Private room;$70,00;1;87;8/08/2023;1.48;3;322;40
29921450;12384611;Annamaria;San Ferdinando;408.341;1.424.291;Entire home/apt;$65,00;2;14;14/10/2019;0.26;1;137;0
29924422;224995140;Mario;Montecalvario;408.403;1.424.671;Entire home/apt;$96,00;1;371;11/09/2023;6.87;1;339;101
29950018;166839022;Giuseppe;Vicaria;40.856.506.483.915.500;14.272.241.994.461.200;Entire home/apt;$90,00;2;116;7/09/2023;2.02;5;342;31
29985903;139363139;Antonella;San Lorenzo;4.085.624;1.426.316;Entire home/apt;$60,00;2;14;17/09/2020;0.24;1;0;0
29987560;111330919;Alessandro;Arenella;4.085.135;1.422.314;Entire home/apt;$26,00;2;5;13/01/2020;0.09;2;313;0
29988401;225443348;Luigi;San Lorenzo;4.085.903;1.426.388;Private room;$84,00;2;4;8/08/2022;0.07;3;56;0
29989324;225443348;Luigi;San Lorenzo;4.085.997;1.426.442;Private room;$94,00;2;6;19/07/2022;0.1;3;68;0
30004020;204762985;Casa Hosteno;Porto;4.084.757;1.425.438;Private room;$163,00;1;0;;;5;0;0
30005501;204762985;Casa Hosteno;Porto;4.084.811;1.425.537;Private room;$185,00;1;0;;;5;0;0
30027023;125049350;Daniela;San Ferdinando;4.083.696;1.424.712;Entire home/apt;$88,00;1;12;28/05/2023;0.22;4;340;1
30027550;225687402;Pino;Montecalvario;4.084.337;1.424.619;Entire home/apt;$83,00;1;174;5/09/2023;3;1;335;62
